date_time,population,temp
2025-07-31 10:00:00,Ishikari,17.41478516
2025-07-31 10:00:00,Kerimai,18.65889648
2025-07-31 11:00:00,Ishikari,17.54348633
2025-07-31 11:00:00,Kerimai,18.70179688
2025-07-31 12:00:00,Ishikari,17.84378906
2025-07-31 12:00:00,Kerimai,18.70179688
2025-07-31 13:00:00,Ishikari,17.97249023
2025-07-31 13:00:00,Kerimai,19.25950195
2025-07-31 14:00:00,Ishikari,18.22989258
2025-07-31 14:00:00,Kerimai,19.73140625
2025-07-31 15:00:00,Ishikari,19.00209961
2025-07-31 15:00:00,Kerimai,19.81720703
2025-07-31 16:00:00,Ishikari,18.74469727
2025-07-31 16:00:00,Kerimai,19.5169043
2025-07-31 17:00:00,Ishikari,18.91629883
2025-07-31 17:00:00,Kerimai,19.00209961
2025-07-31 18:00:00,Ishikari,18.74469727
2025-07-31 18:00:00,Kerimai,18.70179688
2025-07-31 19:00:00,Ishikari,18.27279297
2025-07-31 19:00:00,Kerimai,18.53019531
2025-07-31 20:00:00,Ishikari,17.97249023
2025-07-31 20:00:00,Kerimai,18.40149414
2025-07-31 21:00:00,Ishikari,17.6721875
2025-07-31 21:00:00,Kerimai,18.31569336
2025-07-31 22:00:00,Ishikari,17.32898438
2025-07-31 22:00:00,Kerimai,18.27279297
2025-07-31 23:00:00,Ishikari,17.07158203
2025-07-31 23:00:00,Kerimai,18.10119141
2025-08-01 00:00:00,Ishikari,16.7712793
2025-08-01 00:00:00,Kerimai,18.10119141
2025-08-01 01:00:00,Ishikari,16.64257813
2025-08-01 01:00:00,Kerimai,18.10119141
2025-08-01 02:00:00,Ishikari,16.51387695
2025-08-01 02:00:00,Kerimai,17.97249023
2025-08-01 03:00:00,Ishikari,16.42807617
2025-08-01 03:00:00,Kerimai,17.92958984
2025-08-01 04:00:00,Ishikari,16.47097656
2025-08-01 04:00:00,Kerimai,17.92958984
2025-08-01 05:00:00,Ishikari,16.51387695
2025-08-01 05:00:00,Kerimai,17.84378906
2025-08-01 06:00:00,Ishikari,16.55677734
2025-08-01 06:00:00,Kerimai,17.84378906
2025-08-01 07:00:00,Ishikari,16.85708008
2025-08-01 07:00:00,Kerimai,17.92958984
2025-08-01 08:00:00,Ishikari,17.07158203
2025-08-01 08:00:00,Kerimai,18.18699219
2025-08-01 09:00:00,Ishikari,17.54348633
2025-08-01 09:00:00,Kerimai,18.27279297
2025-08-01 10:00:00,Ishikari,18.01539063
2025-08-01 10:00:00,Kerimai,18.48729492
2025-08-01 11:00:00,Ishikari,18.78759766
2025-08-01 11:00:00,Kerimai,18.83049805
2025-08-01 12:00:00,Ishikari,19.5169043
2025-08-01 12:00:00,Kerimai,19.13080078
2025-08-01 13:00:00,Ishikari,20.46071289
2025-08-01 13:00:00,Kerimai,19.00209961
2025-08-01 14:00:00,Ishikari,21.44742188
2025-08-01 14:00:00,Kerimai,19.68850586
2025-08-01 15:00:00,Ishikari,21.91932617
2025-08-01 15:00:00,Kerimai,19.81720703
2025-08-01 16:00:00,Ishikari,21.49032227
2025-08-01 16:00:00,Kerimai,19.77430664
2025-08-01 17:00:00,Ishikari,21.23291992
2025-08-01 17:00:00,Kerimai,19.045
2025-08-01 18:00:00,Ishikari,20.46071289
2025-08-01 18:00:00,Kerimai,18.78759766
2025-08-01 19:00:00,Ishikari,19.55980469
2025-08-01 19:00:00,Kerimai,18.53019531
2025-08-01 20:00:00,Ishikari,18.74469727
2025-08-01 20:00:00,Kerimai,18.35859375
2025-08-01 21:00:00,Ishikari,17.97249023
2025-08-01 21:00:00,Kerimai,18.27279297
2025-08-01 22:00:00,Ishikari,17.41478516
2025-08-01 22:00:00,Kerimai,18.22989258
2025-08-01 23:00:00,Ishikari,16.94288086
2025-08-01 23:00:00,Kerimai,18.18699219
2025-08-02 00:00:00,Ishikari,16.7712793
2025-08-02 00:00:00,Kerimai,18.144091800000002
2025-08-02 01:00:00,Ishikari,16.55677734
2025-08-02 01:00:00,Kerimai,18.10119141
2025-08-02 02:00:00,Ishikari,16.51387695
2025-08-02 02:00:00,Kerimai,18.10119141
2025-08-02 03:00:00,Ishikari,16.47097656
2025-08-02 03:00:00,Kerimai,18.05829102
2025-08-02 04:00:00,Ishikari,16.47097656
2025-08-02 04:00:00,Kerimai,18.01539063
2025-08-02 05:00:00,Ishikari,16.42807617
2025-08-02 05:00:00,Kerimai,18.01539063
2025-08-02 06:00:00,Ishikari,16.55677734
2025-08-02 06:00:00,Kerimai,18.05829102
2025-08-02 07:00:00,Ishikari,16.94288086
2025-08-02 07:00:00,Kerimai,18.144091800000002
2025-08-02 08:00:00,Ishikari,17.32898438
2025-08-02 08:00:00,Kerimai,18.40149414
2025-08-02 09:00:00,Ishikari,18.22989258
2025-08-02 09:00:00,Kerimai,18.70179688
2025-08-02 10:00:00,Ishikari,18.78759766
2025-08-02 10:00:00,Kerimai,18.87339844
2025-08-02 11:00:00,Ishikari,19.25950195
2025-08-02 11:00:00,Kerimai,19.17370117
2025-08-02 12:00:00,Ishikari,20.76101563
2025-08-02 12:00:00,Kerimai,19.30240234
2025-08-02 13:00:00,Ishikari,21.19001953
2025-08-02 13:00:00,Kerimai,19.55980469
2025-08-02 14:00:00,Ishikari,22.17672852
2025-08-02 14:00:00,Kerimai,19.73140625
2025-08-02 15:00:00,Ishikari,22.73443359
2025-08-02 15:00:00,Kerimai,19.86010742
2025-08-02 16:00:00,Ishikari,22.73443359
2025-08-02 16:00:00,Kerimai,20.16041016
2025-08-02 17:00:00,Ishikari,22.00512695
2025-08-02 17:00:00,Kerimai,19.47400391
2025-08-02 18:00:00,Ishikari,20.93261719
2025-08-02 18:00:00,Kerimai,19.25950195
2025-08-02 19:00:00,Ishikari,20.03170898
2025-08-02 19:00:00,Kerimai,19.00209961
2025-08-02 20:00:00,Ishikari,19.25950195
2025-08-02 20:00:00,Kerimai,18.91629883
2025-08-02 21:00:00,Ishikari,18.53019531
2025-08-02 21:00:00,Kerimai,18.78759766
2025-08-02 22:00:00,Ishikari,18.01539063
2025-08-02 22:00:00,Kerimai,18.78759766
2025-08-02 23:00:00,Ishikari,17.58638672
2025-08-02 23:00:00,Kerimai,18.70179688
2025-08-03 00:00:00,Ishikari,17.2002832
2025-08-03 00:00:00,Kerimai,18.65889648
2025-08-03 01:00:00,Ishikari,16.98578125
2025-08-03 01:00:00,Kerimai,18.61599609
2025-08-03 02:00:00,Ishikari,16.85708008
2025-08-03 02:00:00,Kerimai,18.61599609
2025-08-03 03:00:00,Ishikari,16.7712793
2025-08-03 03:00:00,Kerimai,18.5730957
2025-08-03 04:00:00,Ishikari,16.72837891
2025-08-03 04:00:00,Kerimai,18.44439453
2025-08-03 05:00:00,Ishikari,16.59967773
2025-08-03 05:00:00,Kerimai,18.35859375
2025-08-03 06:00:00,Ishikari,16.68547852
2025-08-03 06:00:00,Kerimai,18.40149414
2025-08-03 07:00:00,Ishikari,17.02868164
2025-08-03 07:00:00,Kerimai,18.5730957
2025-08-03 08:00:00,Ishikari,17.97249023
2025-08-03 08:00:00,Kerimai,18.70179688
2025-08-03 09:00:00,Ishikari,19.34530273
2025-08-03 09:00:00,Kerimai,19.045
2025-08-03 10:00:00,Ishikari,20.80391602
2025-08-03 10:00:00,Kerimai,19.17370117
2025-08-03 11:00:00,Ishikari,21.36162109
2025-08-03 11:00:00,Kerimai,19.77430664
2025-08-03 12:00:00,Ishikari,22.39123047
2025-08-03 12:00:00,Kerimai,20.4178125
2025-08-03 13:00:00,Ishikari,23.46374023
2025-08-03 13:00:00,Kerimai,20.8897168
2025-08-03 14:00:00,Ishikari,23.50664063
2025-08-03 14:00:00,Kerimai,20.975517580000002
2025-08-03 15:00:00,Ishikari,23.37793945
2025-08-03 15:00:00,Kerimai,21.40452148
2025-08-03 16:00:00,Ishikari,22.43413086
2025-08-03 16:00:00,Kerimai,21.19001953
2025-08-03 17:00:00,Ishikari,21.44742188
2025-08-03 17:00:00,Kerimai,20.28911133
2025-08-03 18:00:00,Ishikari,20.33201172
2025-08-03 18:00:00,Kerimai,19.68850586
2025-08-03 19:00:00,Ishikari,19.5169043
2025-08-03 19:00:00,Kerimai,19.38820313
2025-08-03 20:00:00,Ishikari,18.91629883
2025-08-03 20:00:00,Kerimai,19.21660156
2025-08-03 21:00:00,Ishikari,18.27279297
2025-08-03 21:00:00,Kerimai,19.08790039
2025-08-03 22:00:00,Ishikari,17.84378906
2025-08-03 22:00:00,Kerimai,19.045
2025-08-03 23:00:00,Ishikari,17.37188477
2025-08-03 23:00:00,Kerimai,19.045
2025-08-04 00:00:00,Ishikari,17.07158203
2025-08-04 00:00:00,Kerimai,19.00209961
2025-08-04 01:00:00,Ishikari,16.81417969
2025-08-04 01:00:00,Kerimai,18.95919922
2025-08-04 02:00:00,Ishikari,16.55677734
2025-08-04 02:00:00,Kerimai,18.91629883
2025-08-04 03:00:00,Ishikari,16.34227539
2025-08-04 03:00:00,Kerimai,18.83049805
2025-08-04 04:00:00,Ishikari,16.12777344
2025-08-04 04:00:00,Kerimai,18.78759766
2025-08-04 05:00:00,Ishikari,16.12777344
2025-08-04 05:00:00,Kerimai,18.74469727
2025-08-04 06:00:00,Ishikari,16.38517578
2025-08-04 06:00:00,Kerimai,18.74469727
2025-08-04 07:00:00,Ishikari,16.98578125
2025-08-04 07:00:00,Kerimai,18.95919922
2025-08-04 08:00:00,Ishikari,17.75798828
2025-08-04 08:00:00,Kerimai,19.045
2025-08-04 09:00:00,Ishikari,18.5730957
2025-08-04 09:00:00,Kerimai,19.30240234
2025-08-04 10:00:00,Ishikari,19.00209961
2025-08-04 10:00:00,Kerimai,19.5169043
2025-08-04 11:00:00,Ishikari,19.47400391
2025-08-04 11:00:00,Kerimai,20.16041016
2025-08-04 12:00:00,Ishikari,18.74469727
2025-08-04 12:00:00,Kerimai,20.58941406
2025-08-04 13:00:00,Ishikari,18.27279297
2025-08-04 13:00:00,Kerimai,20.4178125
2025-08-04 14:00:00,Ishikari,18.144091800000002
2025-08-04 14:00:00,Kerimai,20.58941406
