date_time,population,temp
2025-07-30 18:00:00,Ishikari,14.58335938
2025-07-30 18:00:00,Kerimai,14.58335938
2025-07-30 19:00:00,Ishikari,14.49755859
2025-07-30 19:00:00,Kerimai,14.4546582
2025-07-30 20:00:00,Ishikari,14.4546582
2025-07-30 20:00:00,Kerimai,14.4546582
2025-07-30 21:00:00,Ishikari,14.41175781
2025-07-30 21:00:00,Kerimai,14.36885742
2025-07-30 22:00:00,Ishikari,14.41175781
2025-07-30 22:00:00,Kerimai,14.36885742
2025-07-30 23:00:00,Ishikari,14.28305664
2025-07-30 23:00:00,Kerimai,14.28305664
2025-07-31 00:00:00,Ishikari,14.28305664
2025-07-31 00:00:00,Kerimai,14.28305664
2025-07-31 01:00:00,Ishikari,14.24015625
2025-07-31 01:00:00,Kerimai,14.19725586
2025-07-31 02:00:00,Ishikari,14.19725586
2025-07-31 02:00:00,Kerimai,14.11145508
2025-07-31 03:00:00,Ishikari,14.15435547
2025-07-31 03:00:00,Kerimai,13.93985352
2025-07-31 04:00:00,Ishikari,13.98275391
2025-07-31 04:00:00,Kerimai,13.93985352
2025-07-31 05:00:00,Ishikari,14.0256543
2025-07-31 05:00:00,Kerimai,13.93985352
2025-07-31 06:00:00,Ishikari,14.0256543
2025-07-31 06:00:00,Kerimai,13.89695313
2025-07-31 07:00:00,Ishikari,14.06855469
2025-07-31 07:00:00,Kerimai,13.98275391
2025-07-31 08:00:00,Ishikari,14.06855469
2025-07-31 08:00:00,Kerimai,13.98275391
2025-07-31 09:00:00,Ishikari,14.15435547
2025-07-31 09:00:00,Kerimai,13.98275391
2025-07-31 10:00:00,Ishikari,14.11145508
2025-07-31 10:00:00,Kerimai,14.0256543
2025-07-31 11:00:00,Ishikari,14.24015625
2025-07-31 11:00:00,Kerimai,14.11145508
2025-07-31 12:00:00,Ishikari,14.28305664
2025-07-31 12:00:00,Kerimai,14.19725586
2025-07-31 13:00:00,Ishikari,14.28305664
2025-07-31 13:00:00,Kerimai,14.19725586
2025-07-31 14:00:00,Ishikari,14.28305664
2025-07-31 14:00:00,Kerimai,14.19725586
2025-07-31 15:00:00,Ishikari,14.32595703
2025-07-31 15:00:00,Kerimai,14.28305664
2025-07-31 16:00:00,Ishikari,14.32595703
2025-07-31 16:00:00,Kerimai,14.24015625
2025-07-31 17:00:00,Ishikari,14.41175781
2025-07-31 17:00:00,Kerimai,14.32595703
2025-07-31 18:00:00,Ishikari,14.41175781
2025-07-31 18:00:00,Kerimai,14.32595703
2025-07-31 19:00:00,Ishikari,14.36885742
2025-07-31 19:00:00,Kerimai,14.28305664
2025-07-31 20:00:00,Ishikari,14.36885742
2025-07-31 20:00:00,Kerimai,14.24015625
2025-07-31 21:00:00,Ishikari,14.24015625
2025-07-31 21:00:00,Kerimai,14.15435547
2025-07-31 22:00:00,Ishikari,14.24015625
2025-07-31 22:00:00,Kerimai,14.11145508
2025-07-31 23:00:00,Ishikari,14.15435547
2025-07-31 23:00:00,Kerimai,14.11145508
2025-08-01 00:00:00,Ishikari,14.15435547
2025-08-01 00:00:00,Kerimai,14.0256543
2025-08-01 01:00:00,Ishikari,14.06855469
2025-08-01 01:00:00,Kerimai,13.98275391
2025-08-01 02:00:00,Ishikari,14.0256543
2025-08-01 02:00:00,Kerimai,13.89695313
2025-08-01 03:00:00,Ishikari,13.98275391
2025-08-01 03:00:00,Kerimai,13.89695313
2025-08-01 04:00:00,Ishikari,13.98275391
2025-08-01 04:00:00,Kerimai,13.85405273
2025-08-01 05:00:00,Ishikari,13.98275391
2025-08-01 05:00:00,Kerimai,13.89695313
2025-08-01 06:00:00,Ishikari,14.0256543
2025-08-01 06:00:00,Kerimai,13.98275391
2025-08-01 07:00:00,Ishikari,14.15435547
2025-08-01 07:00:00,Kerimai,14.06855469
2025-08-01 08:00:00,Ishikari,14.19725586
2025-08-01 08:00:00,Kerimai,14.15435547
2025-08-01 09:00:00,Ishikari,14.28305664
2025-08-01 09:00:00,Kerimai,14.24015625
2025-08-01 10:00:00,Ishikari,14.32595703
2025-08-01 10:00:00,Kerimai,14.19725586
2025-08-01 11:00:00,Ishikari,14.41175781
2025-08-01 11:00:00,Kerimai,14.32595703
2025-08-01 12:00:00,Ishikari,14.49755859
2025-08-01 12:00:00,Kerimai,14.41175781
2025-08-01 13:00:00,Ishikari,14.58335938
2025-08-01 13:00:00,Kerimai,14.49755859
2025-08-01 14:00:00,Ishikari,14.66916016
2025-08-01 14:00:00,Kerimai,14.54045898
2025-08-01 15:00:00,Ishikari,14.71206055
2025-08-01 15:00:00,Kerimai,14.66916016
2025-08-01 16:00:00,Ishikari,14.75496094
2025-08-01 16:00:00,Kerimai,14.66916016
2025-08-01 17:00:00,Ishikari,14.79786133
2025-08-01 17:00:00,Kerimai,14.66916016
2025-08-01 18:00:00,Ishikari,14.66916016
2025-08-01 18:00:00,Kerimai,14.54045898
2025-08-01 19:00:00,Ishikari,14.58335938
2025-08-01 19:00:00,Kerimai,14.49755859
2025-08-01 20:00:00,Ishikari,14.54045898
2025-08-01 20:00:00,Kerimai,14.41175781
2025-08-01 21:00:00,Ishikari,14.49755859
2025-08-01 21:00:00,Kerimai,14.36885742
2025-08-01 22:00:00,Ishikari,14.41175781
2025-08-01 22:00:00,Kerimai,14.28305664
2025-08-01 23:00:00,Ishikari,14.36885742
2025-08-01 23:00:00,Kerimai,14.28305664
2025-08-02 00:00:00,Ishikari,14.32595703
2025-08-02 00:00:00,Kerimai,14.24015625
2025-08-02 01:00:00,Ishikari,14.28305664
2025-08-02 01:00:00,Kerimai,14.15435547
2025-08-02 02:00:00,Ishikari,14.19725586
2025-08-02 02:00:00,Kerimai,14.11145508
2025-08-02 03:00:00,Ishikari,14.15435547
2025-08-02 03:00:00,Kerimai,14.0256543
2025-08-02 04:00:00,Ishikari,14.15435547
2025-08-02 04:00:00,Kerimai,14.0256543
2025-08-02 05:00:00,Ishikari,14.11145508
2025-08-02 05:00:00,Kerimai,13.93985352
2025-08-02 06:00:00,Ishikari,14.11145508
2025-08-02 06:00:00,Kerimai,13.93985352
2025-08-02 07:00:00,Ishikari,14.15435547
2025-08-02 07:00:00,Kerimai,14.06855469
2025-08-02 08:00:00,Ishikari,14.19725586
2025-08-02 08:00:00,Kerimai,14.06855469
2025-08-02 09:00:00,Ishikari,14.28305664
2025-08-02 09:00:00,Kerimai,14.19725586
2025-08-02 10:00:00,Ishikari,14.32595703
2025-08-02 10:00:00,Kerimai,14.24015625
2025-08-02 11:00:00,Ishikari,14.32595703
2025-08-02 11:00:00,Kerimai,14.24015625
2025-08-02 12:00:00,Ishikari,14.36885742
2025-08-02 12:00:00,Kerimai,14.28305664
2025-08-02 13:00:00,Ishikari,14.54045898
2025-08-02 13:00:00,Kerimai,14.4546582
2025-08-02 14:00:00,Ishikari,14.62625977
2025-08-02 14:00:00,Kerimai,14.58335938
2025-08-02 15:00:00,Ishikari,14.66916016
2025-08-02 15:00:00,Kerimai,14.49755859
2025-08-02 16:00:00,Ishikari,14.66916016
2025-08-02 16:00:00,Kerimai,14.54045898
2025-08-02 17:00:00,Ishikari,14.71206055
